127.0.0.1 - - [05/Aug/2024:11:40:57 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [05/Aug/2024:12:03:59 +0530] "GET /AlumnieventmanagementApplication/Alumnimaster.jsp HTTP/1.1" 200 2457
0:0:0:0:0:0:0:1 - - [05/Aug/2024:12:03:59 +0530] "GET /AlumnieventmanagementApplication/styles.css HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [05/Aug/2024:12:04:01 +0530] "GET /AlumnieventmanagementApplication/index.jsp HTTP/1.1" 200 1676
0:0:0:0:0:0:0:1 - - [05/Aug/2024:12:04:02 +0530] "GET /AlumnieventmanagementApplication/Alumnimaster.jsp HTTP/1.1" 200 2457
0:0:0:0:0:0:0:1 - - [05/Aug/2024:12:04:02 +0530] "GET /AlumnieventmanagementApplication/styles.css HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [05/Aug/2024:12:04:04 +0530] "GET /AlumnieventmanagementApplication/EventMaster.jsp HTTP/1.1" 200 2429
0:0:0:0:0:0:0:1 - - [05/Aug/2024:12:04:04 +0530] "GET /AlumnieventmanagementApplication/styles.css HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [05/Aug/2024:12:04:14 +0530] "GET /AlumnieventmanagementApplication/AddEvents.jsp HTTP/1.1" 200 5782
0:0:0:0:0:0:0:1 - - [05/Aug/2024:12:04:14 +0530] "GET /AlumnieventmanagementApplication/CSS/Addevent.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Aug/2024:12:04:16 +0530] "GET /AlumnieventmanagementApplication/Viewevents.jsp HTTP/1.1" 200 7063
0:0:0:0:0:0:0:1 - - [05/Aug/2024:12:04:16 +0530] "GET /AlumnieventmanagementApplication/CSS/ViewEvent.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Aug/2024:12:05:27 +0530] "GET /AlumnieventmanagementApplication/login.jsp HTTP/1.1" 200 882
0:0:0:0:0:0:0:1 - - [05/Aug/2024:12:05:36 +0530] "GET /AlumnieventmanagementApplication/valid?Username=Shreyash&Password=Shreyash%40123&Logintype=Student&sub=Login HTTP/1.1" 200 1676
0:0:0:0:0:0:0:1 - - [05/Aug/2024:12:05:38 +0530] "GET /AlumnieventmanagementApplication/Alumnimaster.jsp HTTP/1.1" 200 2457
0:0:0:0:0:0:0:1 - - [05/Aug/2024:12:05:38 +0530] "GET /AlumnieventmanagementApplication/styles.css HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [05/Aug/2024:12:05:44 +0530] "GET /AlumnieventmanagementApplication/Viewalumni.jsp HTTP/1.1" 200 9121
0:0:0:0:0:0:0:1 - - [05/Aug/2024:12:05:44 +0530] "GET /AlumnieventmanagementApplication/CSS/view.css HTTP/1.1" 200 84
0:0:0:0:0:0:0:1 - - [05/Aug/2024:12:05:46 +0530] "GET /AlumnieventmanagementApplication/AddAlumni.jsp HTTP/1.1" 200 4651
0:0:0:0:0:0:0:1 - - [05/Aug/2024:12:05:46 +0530] "GET /AlumnieventmanagementApplication/CSS/Addalumni.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Aug/2024:12:05:49 +0530] "GET /AlumnieventmanagementApplication/UpdateAlumni.jsp HTTP/1.1" 200 8023
0:0:0:0:0:0:0:1 - - [05/Aug/2024:12:05:49 +0530] "GET /AlumnieventmanagementApplication/CSS/update.css HTTP/1.1" 200 44
0:0:0:0:0:0:0:1 - - [05/Aug/2024:12:05:49 +0530] "GET /AlumnieventmanagementApplication/JS/update.js HTTP/1.1" 200 461
0:0:0:0:0:0:0:1 - - [05/Aug/2024:12:05:51 +0530] "GET /AlumnieventmanagementApplication/Deletealumni.jsp HTTP/1.1" 200 5167
0:0:0:0:0:0:0:1 - - [05/Aug/2024:12:05:51 +0530] "GET /AlumnieventmanagementApplication/JS/delete.js HTTP/1.1" 200 461
0:0:0:0:0:0:0:1 - - [05/Aug/2024:12:05:51 +0530] "GET /AlumnieventmanagementApplication/CSS/delete.css HTTP/1.1" 200 37
0:0:0:0:0:0:0:1 - - [05/Aug/2024:12:05:57 +0530] "GET /AlumnieventmanagementApplication/Alumnimaster.jsp HTTP/1.1" 200 2457
0:0:0:0:0:0:0:1 - - [05/Aug/2024:12:05:57 +0530] "GET /AlumnieventmanagementApplication/styles.css HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [05/Aug/2024:12:05:58 +0530] "GET /AlumnieventmanagementApplication/EventMaster.jsp HTTP/1.1" 200 2429
0:0:0:0:0:0:0:1 - - [05/Aug/2024:12:05:58 +0530] "GET /AlumnieventmanagementApplication/styles.css HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [05/Aug/2024:12:06:19 +0530] "GET /AlumnieventmanagementApplication/UpdateAlumni.jsp HTTP/1.1" 200 8023
0:0:0:0:0:0:0:1 - - [05/Aug/2024:12:07:58 +0530] "GET /AlumnieventmanagementApplication/UpdateAlumni.jsp HTTP/1.1" 200 8023
0:0:0:0:0:0:0:1 - - [05/Aug/2024:12:08:17 +0530] "GET /AlumnieventmanagementApplication/login.jsp HTTP/1.1" 200 882
0:0:0:0:0:0:0:1 - - [05/Aug/2024:12:08:32 +0530] "GET /AlumnieventmanagementApplication/valid?Username=Shreyash&Password=Shreyash%40123&Logintype=Student&sub=Login HTTP/1.1" 200 1685
0:0:0:0:0:0:0:1 - - [05/Aug/2024:12:08:35 +0530] "GET /AlumnieventmanagementApplication/Alumnimaster.jsp HTTP/1.1" 200 2466
0:0:0:0:0:0:0:1 - - [05/Aug/2024:12:08:35 +0530] "GET /AlumnieventmanagementApplication/styles.css HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [05/Aug/2024:12:08:36 +0530] "GET /AlumnieventmanagementApplication/EventMaster.jsp HTTP/1.1" 200 2438
0:0:0:0:0:0:0:1 - - [05/Aug/2024:12:08:36 +0530] "GET /AlumnieventmanagementApplication/styles.css HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [05/Aug/2024:12:08:40 +0530] "GET /AlumnieventmanagementApplication/Viewevents.jsp HTTP/1.1" 200 7063
0:0:0:0:0:0:0:1 - - [05/Aug/2024:12:16:54 +0530] "GET /AlumnieventmanagementApplication/Alumnimaster.jsp HTTP/1.1" 200 2466
0:0:0:0:0:0:0:1 - - [05/Aug/2024:12:16:54 +0530] "GET /AlumnieventmanagementApplication/styles.css HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [05/Aug/2024:12:16:57 +0530] "GET /AlumnieventmanagementApplication/UpdateAlumni.jsp HTTP/1.1" 200 7396
0:0:0:0:0:0:0:1 - - [05/Aug/2024:12:17:02 +0530] "GET /AlumnieventmanagementApplication/Alumnimaster.jsp HTTP/1.1" 200 2466
0:0:0:0:0:0:0:1 - - [05/Aug/2024:12:17:02 +0530] "GET /AlumnieventmanagementApplication/styles.css HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [05/Aug/2024:12:17:05 +0530] "GET /AlumnieventmanagementApplication/UpdateAlumni.jsp HTTP/1.1" 200 7396
0:0:0:0:0:0:0:1 - - [05/Aug/2024:12:17:06 +0530] "GET /AlumnieventmanagementApplication/index.jsp HTTP/1.1" 200 1685
0:0:0:0:0:0:0:1 - - [05/Aug/2024:12:18:58 +0530] "GET /AlumnieventmanagementApplication/login.jsp HTTP/1.1" 200 882
0:0:0:0:0:0:0:1 - - [05/Aug/2024:12:19:08 +0530] "GET /AlumnieventmanagementApplication/valid?Username=Shreyash&Password=Shreyash%40123&Logintype=Student&sub=Login HTTP/1.1" 200 1685
0:0:0:0:0:0:0:1 - - [05/Aug/2024:12:19:09 +0530] "GET /AlumnieventmanagementApplication/Alumnimaster.jsp HTTP/1.1" 200 2466
0:0:0:0:0:0:0:1 - - [05/Aug/2024:12:19:09 +0530] "GET /AlumnieventmanagementApplication/styles.css HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [05/Aug/2024:12:19:10 +0530] "GET /AlumnieventmanagementApplication/EventMaster.jsp HTTP/1.1" 200 2438
0:0:0:0:0:0:0:1 - - [05/Aug/2024:12:19:10 +0530] "GET /AlumnieventmanagementApplication/styles.css HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [05/Aug/2024:12:19:14 +0530] "GET /AlumnieventmanagementApplication/Viewevents.jsp HTTP/1.1" 200 6300
0:0:0:0:0:0:0:1 - - [05/Aug/2024:12:19:16 +0530] "GET /AlumnieventmanagementApplication/Alumnimaster.jsp HTTP/1.1" 200 2466
0:0:0:0:0:0:0:1 - - [05/Aug/2024:12:19:16 +0530] "GET /AlumnieventmanagementApplication/styles.css HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [05/Aug/2024:12:19:18 +0530] "GET /AlumnieventmanagementApplication/UpdateAlumni.jsp HTTP/1.1" 200 7396
0:0:0:0:0:0:0:1 - - [05/Aug/2024:12:19:27 +0530] "GET /AlumnieventmanagementApplication/index.jsp HTTP/1.1" 200 1685
0:0:0:0:0:0:0:1 - - [05/Aug/2024:12:19:33 +0530] "GET /AlumnieventmanagementApplication/Alumnimaster.jsp HTTP/1.1" 200 2466
0:0:0:0:0:0:0:1 - - [05/Aug/2024:12:19:33 +0530] "GET /AlumnieventmanagementApplication/styles.css HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [05/Aug/2024:12:19:37 +0530] "GET /AlumnieventmanagementApplication/Viewalumni.jsp HTTP/1.1" 200 8366
0:0:0:0:0:0:0:1 - - [05/Aug/2024:12:19:53 +0530] "GET /AlumnieventmanagementApplication/Alumnimaster.jsp HTTP/1.1" 200 2466
0:0:0:0:0:0:0:1 - - [05/Aug/2024:12:19:53 +0530] "GET /AlumnieventmanagementApplication/styles.css HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [05/Aug/2024:12:20:26 +0530] "GET /AlumnieventmanagementApplication/Alumnimaster.jsp HTTP/1.1" 200 2466
0:0:0:0:0:0:0:1 - - [05/Aug/2024:12:20:26 +0530] "GET /AlumnieventmanagementApplication/styles.css HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [05/Aug/2024:12:20:27 +0530] "GET /AlumnieventmanagementApplication/index.jsp HTTP/1.1" 200 1685
0:0:0:0:0:0:0:1 - - [05/Aug/2024:12:20:29 +0530] "GET /AlumnieventmanagementApplication/Alumnimaster.jsp HTTP/1.1" 200 2466
0:0:0:0:0:0:0:1 - - [05/Aug/2024:12:20:29 +0530] "GET /AlumnieventmanagementApplication/styles.css HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [05/Aug/2024:12:20:32 +0530] "GET /AlumnieventmanagementApplication/UpdateAlumni.jsp HTTP/1.1" 200 7394
0:0:0:0:0:0:0:1 - - [05/Aug/2024:12:20:33 +0530] "GET /AlumnieventmanagementApplication/EventMaster.jsp HTTP/1.1" 200 2438
0:0:0:0:0:0:0:1 - - [05/Aug/2024:12:20:33 +0530] "GET /AlumnieventmanagementApplication/styles.css HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [05/Aug/2024:12:20:37 +0530] "GET /AlumnieventmanagementApplication/Viewevents.jsp HTTP/1.1" 200 6300
0:0:0:0:0:0:0:1 - - [05/Aug/2024:12:20:38 +0530] "GET /AlumnieventmanagementApplication/Alumnimaster.jsp HTTP/1.1" 200 2466
0:0:0:0:0:0:0:1 - - [05/Aug/2024:12:20:38 +0530] "GET /AlumnieventmanagementApplication/styles.css HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [05/Aug/2024:12:34:18 +0530] "GET /AlumnieventmanagementApplication/login.jsp HTTP/1.1" 200 882
0:0:0:0:0:0:0:1 - - [05/Aug/2024:12:34:27 +0530] "GET /AlumnieventmanagementApplication/valid?Username=Shreyash&Password=Shreyash%40123&Logintype=Student&sub=Login HTTP/1.1" 200 1685
0:0:0:0:0:0:0:1 - - [05/Aug/2024:12:34:30 +0530] "GET /AlumnieventmanagementApplication/EventMaster.jsp HTTP/1.1" 200 2438
0:0:0:0:0:0:0:1 - - [05/Aug/2024:12:34:30 +0530] "GET /AlumnieventmanagementApplication/styles.css HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [05/Aug/2024:12:35:01 +0530] "GET /AlumnieventmanagementApplication/EventMaster.jsp HTTP/1.1" 200 2452
0:0:0:0:0:0:0:1 - - [05/Aug/2024:12:35:01 +0530] "GET /AlumnieventmanagementApplication/styles.css HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [05/Aug/2024:12:35:03 +0530] "GET /AlumnieventmanagementApplication/updateevent.jsp HTTP/1.1" 200 6695
0:0:0:0:0:0:0:1 - - [05/Aug/2024:12:35:35 +0530] "GET /AlumnieventmanagementApplication/updateevent.jsp HTTP/1.1" 200 6695
0:0:0:0:0:0:0:1 - - [05/Aug/2024:12:36:52 +0530] "GET /AlumnieventmanagementApplication/updateevent.jsp HTTP/1.1" 200 6700
0:0:0:0:0:0:0:1 - - [05/Aug/2024:12:36:52 +0530] "GET /AlumnieventmanagementApplication/JS/updateevent.js HTTP/1.1" 200 461
0:0:0:0:0:0:0:1 - - [05/Aug/2024:12:59:32 +0530] "GET /AlumnieventmanagementApplication/Alumnimaster.jsp HTTP/1.1" 200 2466
0:0:0:0:0:0:0:1 - - [05/Aug/2024:12:59:32 +0530] "GET /AlumnieventmanagementApplication/styles.css HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [05/Aug/2024:12:59:34 +0530] "GET /AlumnieventmanagementApplication/UpdateAlumni.jsp HTTP/1.1" 200 7392
0:0:0:0:0:0:0:1 - - [05/Aug/2024:12:59:40 +0530] "GET /AlumnieventmanagementApplication/EventMaster.jsp HTTP/1.1" 200 2452
0:0:0:0:0:0:0:1 - - [05/Aug/2024:12:59:41 +0530] "GET /AlumnieventmanagementApplication/styles.css HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [05/Aug/2024:12:59:42 +0530] "GET /AlumnieventmanagementApplication/updateevent.jsp HTTP/1.1" 200 6700
0:0:0:0:0:0:0:1 - - [05/Aug/2024:12:59:42 +0530] "GET /AlumnieventmanagementApplication/JS/updateevent.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Aug/2024:13:00:11 +0530] "GET /AlumnieventmanagementApplication/updateevent.jsp HTTP/1.1" 200 6700
0:0:0:0:0:0:0:1 - - [05/Aug/2024:13:00:23 +0530] "GET /AlumnieventmanagementApplication/EventMaster.jsp HTTP/1.1" 200 2452
0:0:0:0:0:0:0:1 - - [05/Aug/2024:13:00:23 +0530] "GET /AlumnieventmanagementApplication/styles.css HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [05/Aug/2024:13:00:24 +0530] "GET /AlumnieventmanagementApplication/Alumnimaster.jsp HTTP/1.1" 200 2466
0:0:0:0:0:0:0:1 - - [05/Aug/2024:13:00:24 +0530] "GET /AlumnieventmanagementApplication/styles.css HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [05/Aug/2024:13:00:25 +0530] "GET /AlumnieventmanagementApplication/index.jsp HTTP/1.1" 200 1685
0:0:0:0:0:0:0:1 - - [05/Aug/2024:13:00:27 +0530] "GET /AlumnieventmanagementApplication/Alumnimaster.jsp HTTP/1.1" 200 2466
0:0:0:0:0:0:0:1 - - [05/Aug/2024:13:00:27 +0530] "GET /AlumnieventmanagementApplication/styles.css HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [05/Aug/2024:13:00:28 +0530] "GET /AlumnieventmanagementApplication/EventMaster.jsp HTTP/1.1" 200 2452
0:0:0:0:0:0:0:1 - - [05/Aug/2024:13:00:28 +0530] "GET /AlumnieventmanagementApplication/styles.css HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [05/Aug/2024:13:00:33 +0530] "GET /AlumnieventmanagementApplication/index.jsp HTTP/1.1" 200 1685
0:0:0:0:0:0:0:1 - - [05/Aug/2024:13:00:36 +0530] "GET /AlumnieventmanagementApplication/index.jsp HTTP/1.1" 200 1685
0:0:0:0:0:0:0:1 - - [05/Aug/2024:13:00:58 +0530] "GET /AlumnieventmanagementApplication/Alumnimaster.jsp HTTP/1.1" 200 2466
0:0:0:0:0:0:0:1 - - [05/Aug/2024:13:00:58 +0530] "GET /AlumnieventmanagementApplication/styles.css HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [05/Aug/2024:13:01:02 +0530] "GET /AlumnieventmanagementApplication/EventMaster.jsp HTTP/1.1" 200 2452
0:0:0:0:0:0:0:1 - - [05/Aug/2024:13:01:02 +0530] "GET /AlumnieventmanagementApplication/styles.css HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [05/Aug/2024:13:01:05 +0530] "GET /AlumnieventmanagementApplication/index.jsp HTTP/1.1" 200 1685
0:0:0:0:0:0:0:1 - - [05/Aug/2024:13:01:08 +0530] "GET /AlumnieventmanagementApplication/Alumnimaster.jsp HTTP/1.1" 200 2466
0:0:0:0:0:0:0:1 - - [05/Aug/2024:13:01:08 +0530] "GET /AlumnieventmanagementApplication/styles.css HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [05/Aug/2024:13:01:09 +0530] "GET /AlumnieventmanagementApplication/EventMaster.jsp HTTP/1.1" 200 2452
0:0:0:0:0:0:0:1 - - [05/Aug/2024:13:01:09 +0530] "GET /AlumnieventmanagementApplication/styles.css HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [05/Aug/2024:13:01:49 +0530] "GET /AlumnieventmanagementApplication/index.jsp HTTP/1.1" 200 1685
0:0:0:0:0:0:0:1 - - [05/Aug/2024:13:01:50 +0530] "GET /AlumnieventmanagementApplication/Alumnimaster.jsp HTTP/1.1" 200 2466
0:0:0:0:0:0:0:1 - - [05/Aug/2024:13:01:50 +0530] "GET /AlumnieventmanagementApplication/styles.css HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [05/Aug/2024:13:01:51 +0530] "GET /AlumnieventmanagementApplication/AddAlumni.jsp HTTP/1.1" 200 3887
0:0:0:0:0:0:0:1 - - [05/Aug/2024:13:01:53 +0530] "GET /AlumnieventmanagementApplication/index.jsp HTTP/1.1" 200 1685
0:0:0:0:0:0:0:1 - - [05/Aug/2024:13:01:54 +0530] "GET /AlumnieventmanagementApplication/Alumnimaster.jsp HTTP/1.1" 200 2466
0:0:0:0:0:0:0:1 - - [05/Aug/2024:13:01:54 +0530] "GET /AlumnieventmanagementApplication/styles.css HTTP/1.1" 404 798
